Player ,AvgPass,Cmp%,TD,Dropbacks,Sack-Adj Yds,EPA,Yds/DB,EPA/DB,SR,Int,Int2TD,S/N,year,Draft Year 
Jameis Winston,300.5,65.3,25,437,3064,85.8,7.01,0.2,52.9,18,1.39,1.0,2014,2015
Marcus Mariota,296.9,68.3,42,399,3221,158.81,8.07,0.4,51.6,4,10.5,0.0,2014,2015
Garrett Grayson,308.2,64.3,32,379,3350,129.49,8.84,0.34,49.1,7,4.57,0.0,2014,2015
Sean Mannion,263.7,62.3,15,481,2771,-43.25,5.76,-0.09,39.9,8,1.88,0.0,2014,2015
Jared Goff,363.0,64.5,43,516,3881,124.42,7.52,0.24,49.2,13,3.31,1.0,2015,2016
Paxton Lynch,290.5,66.8,28,419,3506,144.1,8.37,0.34,49.6,4,7.0,0.0,2015,2016
Christian Hackenberg,194.2,53.5,16,384,2132,-45.75,5.55,-0.12,34.6,6,2.67,0.0,2015,2016
Jacoby Brissett,204.8,60.0,20,396,2234,-9.2,5.64,-0.02,40.9,6,3.33,0.0,2015,2016
Cody Kessler,252.6,66.8,29,448,2958,54.45,6.6,0.12,45.1,7,4.14,0.0,2015,2016
Mitchell Trubisky,288.3,68.0,30,424,3183,123.4,7.51,0.29,45.5,6,5.0,0.0,2016,2017
Patrick Mahomes,421.0,65.7,41,616,4595,179.87,7.46,0.29,48.0,10,4.1,1.0,2016,2017
Deshaun Watson,306.2,67.0,41,489,3608,72.38,7.38,0.15,51.3,17,2.41,1.0,2016,2017
DeShone Kizer,243.8,58.7,26,384,2759,46.79,7.18,0.12,43.2,9,2.89,0.0,2016,2017
Davis Webb,357.9,61.6,37,630,3913,64.67,6.21,0.1,44.4,12,3.08,0.0,2016,2017
C.J. Beathard,148.4,56.5,17,352,2334,28.24,6.63,0.08,40.1,10,1.7,0.0,2016,2017
Baker Mayfield,330.5,70.5,43,388,4021,212.59,10.36,0.55,56.2,6,7.17,1.0,2017,2018
Sam Darnold,295.9,63.1,26,453,3391,100.58,7.49,0.22,47.9,13,2.0,1.0,2017,2018
Josh Allen,228.8,56.0,28,345,2646,56.25,7.67,0.16,43.8,15,1.87,1.0,2016,2018
Josh Rosen,341.5,62.6,26,475,3504,71.98,7.38,0.15,46.3,10,2.6,0.0,2017,2018
Lamar Jackson,281.5,59.1,27,420,3344,98.0,7.96,0.23,46.9,10,2.7,1.0,2017,2018
Mason Rudolph,377.2,65.0,37,470,4089,191.75,8.7,0.41,50.0,9,4.11,0.0,2017,2018
Kyler Murray,311.5,69.0,42,352,3761,213.4,10.68,0.61,56.8,7,6.0,1.0,2018,2019
Daniel Jones,243.1,60.5,22,376,2076,-26.18,5.5,-0.07,40.4,9,2.44,0.0,2018,2019
Dwayne Haskins,345.1,70.0,50,509,4008,180.66,7.87,0.35,54.0,8,6.25,0.0,2018,2019
Drew Lock,304.9,57.8,44,394,3618,93.74,9.18,0.24,47.0,13,3.38,0.0,2017,2019
Will Grier,351.3,67.0,37,418,3338,153.85,7.99,0.37,52.4,8,4.63,0.0,2018,2019
